text,label,label_text,bvid,time
吹牛逼呢,0,negative,BV1PiQZBvEbV,74.708
所以什么时候过年？,1,neutral,BV1PiQZBvEbV,505.588
第一次听，怪好听的,2,positive,BV1tbq3YVErZ,111.019
制裁的国家富不了,1,neutral,BV1gXPjzdEMg,293.896
突然不爽了,0,negative,BV11VA6z2Eaj,75.85
App Store能在Windows上下载了,1,neutral,BV1GJ411x7h7,101.433
美是真美 潮是真潮,2,positive,BV11VA6z2Eaj,22.437
下雪不一样，下雪北方人也觉得好玩,2,positive,BV11VA6z2Eaj,105.246
要价の小曲,1,neutral,BV1ih41147Z6,18.167
还有呢,1,neutral,BV1PiQZBvEbV,166.595
污渍,1,neutral,BV1ih41147Z6,154.857
我爸刚弄死他,1,neutral,BV1ih41147Z6,62.306
vivalavida...？,1,neutral,BV1tbq3YVErZ,122.564
美国要的就是这个海峡的管辖权,1,neutral,BV1gXPjzdEMg,214.307
PCL2,1,neutral,BV1GJ411x7h7,12.165
苹果18宣传片,1,neutral,BV1GJ411x7h7,16.74
我报赣南师大,1,neutral,BV1ih41147Z6,12.966
支持正版,2,positive,BV1tbq3YVErZ,36.741
BGM是：青花瓷：粤语版,1,neutral,BV11VA6z2Eaj,0.314
我觉得好忧郁,0,negative,BV11VA6z2Eaj,31.154
真是美得不像话！！！！！！！！！,2,positive,BV11VA6z2Eaj,154.752
很搞笑，国家很富，人民很穷,1,neutral,BV1gXPjzdEMg,289.792
看懂了,1,neutral,BV1gXPjzdEMg,89.492
汞铼铬，汞铼钌镥锰铵～,1,neutral,BV1ih41147Z6,56.701
这个视频以前发过吧,1,neutral,BV1gXPjzdEMg,102.235
多推,1,neutral,BV11VA6z2Eaj,24.5
董事长不懂事,1,neutral,BV1gXPjzdEMg,145.3
这也太难了，腹背都不好受,0,negative,BV1gXPjzdEMg,196.602
多推,1,neutral,BV11VA6z2Eaj,11.123
江南在哪？,1,neutral,BV1gXPjzdEMg,43.326
老板死了,0,negative,BV1gXPjzdEMg,90.898
这两句话好像之前听过,1,neutral,BV1gXPjzdEMg,108.69
这是带了多少？还没吃完么,1,neutral,BV1PiQZBvEbV,167.111
一会你就发现赞早了,0,negative,BV1gXPjzdEMg,291.396
真的太好听了,2,positive,BV1tbq3YVErZ,118.839
懂了,1,neutral,BV1gXPjzdEMg,211.944
同感，觉得看过,1,neutral,BV1gXPjzdEMg,41.035
我爸刚弄死他,1,neutral,BV1ih41147Z6,62.07
神权大山,1,neutral,BV1gXPjzdEMg,108.593
天青色等烟雨,1,neutral,BV11VA6z2Eaj,19.924
我爸刚弄死他,1,neutral,BV1ih41147Z6,66.869
阿离的舞台！,2,positive,BV11VA6z2Eaj,4.987
哇！這雨景也太美了！彷彿回到古代,2,positive,BV11VA6z2Eaj,11.062
石 之 海 官 方 预 告,1,neutral,BV1GJ411x7h7,17.706
？？？？？江南,1,neutral,BV1gXPjzdEMg,47.971
你被骗了,1,neutral,BV1GJ411x7h7,1.904
这个视频以前发过吧,1,neutral,BV1gXPjzdEMg,102.235
还不都是自己给自己下的套,1,neutral,BV1gXPjzdEMg,226.353
炮打总统部,1,neutral,BV1gXPjzdEMg,118.074
咋换声优了？,1,neutral,BV1gXPjzdEMg,16.467
火星哥稳定发挥,2,positive,BV1tbq3YVErZ,71.792
夜市出一折盖亚了,1,neutral,BV1GJ411x7h7,101.726
A-P~P~P,1,neutral,BV1tbq3YVErZ,3.251
简称：差生文具多~,1,neutral,BV1gXPjzdEMg,74.562
大家把硬币冲上114.5万！,2,positive,BV1GJ411x7h7,20.633
一个神棍  死了 急死了,0,negative,BV1gXPjzdEMg,21.302
烟雨入江南，衣服晾不干,1,neutral,BV11VA6z2Eaj,12.909
炸香蕉超好吃，蘸豆面和红糖,2,positive,BV1PiQZBvEbV,530.395
委内瑞拉 第一？,1,neutral,BV1gXPjzdEMg,270.569
你被骗了,1,neutral,BV1GJ411x7h7,0.405
梗曲返回！28分钟前！！！,2,positive,BV1tbq3YVErZ,0.0
bgm真难听,0,negative,BV11VA6z2Eaj,14.452
你  被  骗  了,1,neutral,BV1GJ411x7h7,1.583
Hey now OK I will he summer guess guess guess,1,neutral,BV1tbq3YVErZ,95.912
这时候躺在船顶一定很舒服,2,positive,BV11VA6z2Eaj,102.216
这个一般,0,negative,BV1MswJzREbd,542.191
我报赣南师大,1,neutral,BV1ih41147Z6,9.537
万青三专,1,neutral,BV1GJ411x7h7,33.039
9700w！,2,positive,BV1GJ411x7h7,5.643
好像看过,1,neutral,BV1gXPjzdEMg,37.39
哪个国家不分解？？？,1,neutral,BV1gXPjzdEMg,264.305
我爸刚弄死他,1,neutral,BV1ih41147Z6,66.346
卧槽加拿大这么多的吗,2,positive,BV1gXPjzdEMg,265.453
